"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Honeymoon Horror",1982,88,50000,2.1,21,44.5,4.5,0,4.5,4.5,4.5,0,0,4.5,4.5,"",0,0,0,0,0,0,0
"Hong faan kui",1996,91,7500000,6.5,4644,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",1,0,1,0,0,0,0
"Honky Tonk Freeway",1981,107,24000000,4.5,206,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,14.5,"",1,0,1,0,0,0,0
"Honorable, The",2002,88,50000,6.8,30,24.5,4.5,0,0,4.5,4.5,14.5,4.5,4.5,44.5,"",0,0,0,0,0,0,0
"Hook",1991,144,70000000,5.8,19368,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,0,0,0,0
"Hoop Dreams",1994,170,700000,7.9,4668,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,0,0,1,0,0
"Hop-Along Cassidy",1935,60,85000,7.5,40,0,0,4.5,0,4.5,4.5,24.5,14.5,4.5,44.5,"",0,0,0,0,0,0,0
"Hope Floats",1998,114,30000000,5.3,4382,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",0,0,1,1,0,1,0
"Hope and Play",2004,101,10500,6.4,7,24.5,0,0,0,0,0,14.5,14.5,24.5,14.5,"",0,0,1,0,0,0,0
"Hopscotch",2004,7,1000,9.6,5,0,0,0,0,0,0,0,0,44.5,64.5,"",0,0,0,1,0,0,1
"Horror of Party Beach, The",1964,78,120000,2.2,418,44.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Horse Whisperer, The",1998,170,60000000,6.4,6744,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,0,1,0,1,0
"Horsemen, The",1971,109,6000000,5.7,86,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,"",0,0,0,1,0,0,0
"Hostage",2005,113,52000000,6.6,3709,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Hot Java",2004,12,15000,9.1,19,14.5,0,0,0,0,0,0,0,0,84.5,"",0,0,1,0,0,0,1
"Hot Touch, The",1982,93,4700000,4.8,13,0,0,14.5,14.5,14.5,24.5,14.5,4.5,4.5,0,"",0,0,0,1,0,0,0
"Hot Wax Zombies On Wheels",1999,88,160000,2.4,52,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,"",0,0,1,0,0,0,0
"Hotel New Hampshire, The",1984,109,7500000,5.8,2065,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"",0,0,1,1,0,0,0
"Hour of the Gun",1967,100,1800000,6.4,235,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,0,0,0,0
"Hours, The",2002,114,25000000,7.6,16692,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"PG-13",0,0,0,1,0,0,0
"House",1986,93,3000000,5.5,1672,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"House of 1000 Corpses",2003,88,7000000,5.1,6136,14.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,14.5,"R",0,0,0,0,0,0,0
"House of Dark Shadows",1970,102,750000,5.7,328,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,0,0,0,0,0
"House of Mirth, The",2000,140,10000000,6.9,2167,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"PG",0,0,0,1,0,1,0
"House of Sand and Fog",2003,126,16000000,7.8,8164,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"House of Usher",1960,79,270000,6.8,1031,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,14.5,"",0,0,0,0,0,0,0
"House of Wax",1953,90,658000,6.9,1386,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"",0,0,0,0,0,0,0
"House of Wax",2005,105,30000000,4.6,1298,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,0,0,0,0,0
"House of Yes, The",1997,85,1500000,6.5,2345,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"R",0,0,1,1,0,0,0
"House of the Dead",2003,90,7000000,2.3,3921,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"R",1,0,0,0,0,0,0
"House of the Long Shadows",1983,100,7500000,5.8,239,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,24.5,"",0,0,1,0,0,0,0
"House of the Spirits, The",1993,146,40000000,6.3,3205,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",0,0,0,1,0,1,0
"House on Haunted Hill",1959,75,200000,6.6,1608,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"House on Haunted Hill",1999,99,19000000,5.1,9694,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"House on Sorority Row, The",1983,91,425000,5.2,187,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"",0,0,0,0,0,0,0
"House on Turk Street, The",2002,103,12000000,5.5,1048,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"How Green Was My Valley",1941,118,1250000,7.9,2662,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,1,0
"How Harry Became a Tree",2001,99,6000000,6.7,115,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"R",0,0,0,1,0,0,0
"How High",2001,95,12000000,4.9,2916,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"How I Saved the World",2001,18,40000,7.2,6,0,14.5,0,14.5,0,0,14.5,0,0,45.5,"",0,0,1,0,0,0,1
"How Stella Got Her Groove Back",1998,124,20000000,5,1475,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,1,0
"How the Grinch Stole Christmas",2000,104,123000000,5.7,12680,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG",0,0,1,1,0,0,0
"How the West Was Won",1962,162,14000000,6.9,2029,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"How to Deal",2003,102,16000000,5.5,1537,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,14.5,"PG-13",0,0,1,1,0,1,0
"How to Kill Your Neighbor's Dog",2000,107,7300000,7,907,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"How to Live with a Vegan Without Killing Them",2004,84,330000,5.5,10,34.5,0,0,0,0,14.5,34.5,24.5,14.5,0,"",0,0,1,0,0,0,0
"How to Lose a Guy in 10 Days",2003,116,50000000,6.1,9257,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,1,0
"How to Steal a Million",1966,123,6000000,7.2,1655,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"",0,0,1,1,0,1,0
"Howard the Duck",1986,110,30000000,3.9,6582,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",1,0,1,0,0,0,0
"Howling, The",1981,91,1000000,6.3,2546,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,0,0,0,0,0
"Hsi yen",1993,106,1000000,7.5,2342,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"",0,0,1,1,0,1,0
"Hucksters, The",1947,115,2300000,6.4,189,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,4.5,4.5,"",0,0,1,1,0,1,0
"Hud",1963,112,2500000,7.9,2450,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",1,0,0,1,0,0,0
"Hudson Hawk",1991,103,65000000,5.1,8904,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"",1,0,1,0,0,0,0
"Hudsucker Proxy, The",1994,111,25000000,7.4,12903,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"",0,0,1,0,0,1,0
"Hukkle",2002,75,100000,7.1,433,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Hulk",2003,138,120000000,6.1,20710,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Hummingbird",2004,48,50000,9.2,12,0,0,0,0,0,0,4.5,14.5,14.5,45.5,"",0,0,0,0,1,0,0
"Hunchback of Notre Dame, The",1923,98,1250000,7.4,414,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Hunchback of Notre Dame, The",1996,91,70000000,6.5,6093,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",0,1,1,1,0,0,0
"Hungry Wives",1973,89,120000,4.6,202,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Hunt for Red October, The",1990,134,30000000,7.6,26666,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",1,0,0,0,0,0,0
"Hunter, The",1980,97,8000000,5.8,559,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",1,0,0,0,0,0,0
"Hunting Camp",2005,38,4000,8.1,13,4.5,0,0,0,0,0,4.5,44.5,4.5,34.5,"",0,0,0,1,0,0,1
"Hunting for Herschell",2003,90,30000,1.8,11,45.5,0,0,0,0,0,14.5,4.5,0,14.5,"",1,0,1,1,0,0,0
"Hurricane",1997,91,500000,6.6,424,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Hurricane, The",1937,103,2000000,7,232,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",1,0,0,1,0,0,0
"Hurricane, The",1999,145,38000000,7.3,12445,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Husbands",1970,131,1000000,7,373,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"PG-13",0,0,0,1,0,0,0
"Husbands and Wives",1992,108,20000000,7.4,3622,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",0,0,1,1,0,0,0
"Hush... Hush, Sweet Charlotte",1964,133,1900000,7.3,1293,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,0,0,0,0
"Husk",2005,27,7500,3.3,14,14.5,0,14.5,0,0,0,24.5,4.5,4.5,34.5,"",0,0,0,0,0,0,1
"Hustlas",2002,90,1000000,5.2,5,44.5,0,0,0,0,0,44.5,0,0,24.5,"",0,0,0,0,0,0,0
"Hustler, The",1961,134,2000000,8.2,8220,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,0,1,0,0,0
"Hypnotic Eye, The",1960,79,365000,5,47,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,24.5,"",0,0,0,0,0,0,0
"I Am Josh Polonski's Brother",2001,87,80000,5,46,4.5,14.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,24.5,"",0,0,0,0,0,0,0
"I Am My Resume",2003,15,30000,9.8,5,0,0,0,0,0,0,0,0,24.5,84.5,"",0,0,0,0,0,0,1
"I Am Sam",2001,132,22000000,7.2,9945,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"PG-13",0,0,0,1,0,0,0
"I Am a Fugitive from a Chain Gang",1932,93,195845,8.1,1198,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,0,1,0,0,0
"I Capture the Castle",2003,111,8000000,7,947,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,1,0
"I Come in Peace",1990,91,7000000,4.8,1033,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"I Cover the War",1937,68,70000,3.4,22,34.5,4.5,4.5,4.5,4.5,4.5,34.5,0,4.5,4.5,"",1,0,0,0,0,0,0
"I Died",2004,108,15000,3,5,24.5,44.5,0,24.5,0,24.5,0,0,0,0,"",0,0,0,0,0,0,0
"I Dreamed of Africa",2000,114,34000000,5.2,1113,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"I Got the Hook Up",1998,93,3500000,3.2,412,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",0,0,1,0,0,0,0
"I Heart Huckabees",2004,106,22000000,7,7262,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"R",0,0,1,0,0,0,0
"I Inside, The",2003,90,8800000,6,734,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"I Know What You Did Last Summer",1997,99,17000000,5.3,15932,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"I Love You Came Too Late",2004,85,125000,8,7,0,0,14.5,0,0,0,0,44.5,14.5,24.5,"",0,0,0,1,0,1,0
"I Married a Monster from Outer Space",1958,78,175000,6.3,287,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"I Married a Strange Person!",1997,74,250000,6.2,391,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,1,1,1,0,0,0
"I Never",2003,22,40000,3.4,5,44.5,24.5,0,24.5,0,0,0,0,24.5,0,"",0,0,1,0,0,0,1
"I Spy",2002,97,70000000,5.3,5521,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG-13",1,0,1,0,0,0,0
"I Still Know What You Did Last Summer",1998,100,24000000,4,9524,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"I Take This Woman",1940,98,700000,5.1,52,4.5,4.5,4.5,4.5,14.5,24.5,4.5,4.5,4.5,14.5,"",0,0,0,1,0,0,0
"I Walk the Line",1970,95,4000000,6,211,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"I Wanna Hold Your Hand",1978,104,2700000,6.7,530,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"",0,0,1,0,0,0,0
"I Was a Teenage Werewolf",1957,76,82000,4.6,380,14.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"I'll Be Seeing You",1945,85,3250000,6.8,130,0,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"I'll Bury You Tomorrow",2002,119,980000,6.7,41,14.5,4.5,4.5,4.5,0,14.5,4.5,14.5,14.5,34.5,"",0,0,0,0,0,0,0
"I'll Do Anything",1994,115,44000000,5.5,558,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,1,0,0,0
"I'll Remember April",1999,90,1800000,6.2,222,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,24.5,"",0,0,0,1,0,0,0
"I'm No Angel",1933,87,225000,7.1,306,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,"",0,0,1,0,0,1,0
"I'm with Lucy",2002,90,15000000,6.2,646,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",0,0,1,0,0,1,0
"I, Robot",2004,115,105000000,7,22330,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",1,0,0,0,0,0,0
"Ice Age",2002,81,60000000,7.3,22302,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,1,1,0,0,0,0
"Ice Cream Man",1995,84,2000000,4.2,349,24.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"R",0,0,1,0,0,0,0
"Ice Pirates, The",1984,91,9000000,4.9,1426,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"",1,0,1,0,0,0,0
"Ice Storm, The",1997,112,18000000,7.5,13115,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Ideal Husband, An",1999,97,14000000,7,4584,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"PG-13",0,0,1,0,0,1,0
"Identity",2003,90,30000000,7.3,18747,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Idle Hands",1999,92,20000000,5.4,5892,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,1,0,0,0,0
"Igby Goes Down",2002,99,9000000,7.1,7958,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"R",0,0,1,1,0,0,0
"Igry motylkov",2004,105,1200000,7.3,23,14.5,0,0,4.5,0,4.5,14.5,34.5,14.5,24.5,"",0,0,0,1,0,0,0
"Imaginary Girls",2004,30,8000,7.6,7,14.5,14.5,0,0,0,0,0,0,0,74.5,"",0,0,0,1,0,0,1
"Imaginary Heroes",2004,112,10000000,7,411,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,1,1,0,0,0
"Imitation of Life",1959,125,2000000,7.4,1483,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,1,0
"Immoral Mr. Teas, The",1959,63,24000,3.7,89,14.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Impatient Years, The",1944,91,600000,6.8,8,0,0,0,0,34.5,0,34.5,24.5,0,0,"",0,0,1,1,0,1,0
"Importance of Being Earnest, The",2002,97,15000000,6.8,3598,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,0,1,1,0,1,0
"Impostor",2002,102,40000000,5.8,3292,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"R",1,0,0,1,0,0,0
"In & Out",1997,92,35000000,6.2,10352,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"PG-13",0,0,1,0,0,0,0
"In Cold Blood",1967,129,3500000,8,2406,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,0,0,1,0,0,0
"In Crowd, The",2000,104,15000000,4,1342,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG-13",0,0,0,1,0,0,0
"In Dreams",1999,98,30000000,5.3,3652,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,"R",0,0,0,0,0,0,0
"In Old Amarillo",1951,67,184686,5.9,6,0,0,0,0,14.5,34.5,14.5,34.5,0,0,"",0,0,0,0,0,0,0
"In Old Chicago",1937,96,1800000,6.8,157,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,1,0,0,0
"In Person",1935,87,493000,6.1,47,0,0,0,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"In Plain Sight",2004,86,50000,7.2,5,0,0,0,0,24.5,24.5,24.5,0,44.5,0,"",0,0,1,0,0,0,0
"In Their Absence",2003,8,3500,9.6,7,0,0,0,0,0,0,0,14.5,14.5,74.5,"",0,0,0,1,0,0,1
"In This World",2002,88,1900000,7.8,815,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"In Too Deep",1999,95,7000000,5.8,978,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"In the Bedroom",2001,130,1700000,7.4,10177,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"R",0,0,0,1,0,0,0
"In the Company of Men",1997,97,25000,7.3,3618,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,1,0,0,0,0
"In the Cut",2003,119,12000000,5.1,4525,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,"R",0,0,0,0,0,0,0
"In the French Style",1963,105,750000,5.2,10,0,0,0,14.5,34.5,34.5,14.5,14.5,0,14.5,"",0,0,0,1,0,1,0
"In the Heat of the Night",1967,109,2000000,8,6752,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,14.5,"",0,0,0,1,0,0,0
"In the Land of Milk and Money",2004,89,150000,5.6,7,0,24.5,0,0,14.5,14.5,14.5,14.5,14.5,0,"",0,0,1,0,0,0,0
"In the Line of Fire",1993,138,40000000,7.3,12923,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,0,1,0,0,0
"In the Mouth of Madness",1994,95,14000000,6.5,4835,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",0,0,0,0,0,0,0
"In the Shadows",2001,105,10000000,4.8,268,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"R",0,0,0,1,0,0,0
"In the Woods",1999,90,252000,1.9,256,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Inamorata",2004,112,5000,7.8,6,0,14.5,0,0,0,0,0,34.5,14.5,34.5,"",0,0,0,0,0,0,1
"Inchon",1981,140,46000000,3.3,131,45.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",0,0,0,1,0,0,0
"Incident at Loch Ness",2004,94,1400000,6.4,251,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,14.5,"PG-13",0,0,1,0,0,0,0
"Incredible Shrinking Man, The",1957,81,750000,7.6,1544,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,"",0,0,0,0,0,0,0
"Incredibles, The",2004,121,92000000,8.3,30749,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"PG",1,1,1,0,0,0,0
"Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?, The",1964,82,38000,2.2,695,45.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",0,0,0,0,0,0,0
"Incredibly True Adventure of Two Girls in Love, The",1995,94,250000,6.5,795,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,"R",0,0,1,1,0,1,0
"Indecent Proposal",1993,117,38000000,5.3,7397,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,0,1,0,1,0
"Independence Day",1996,153,75000000,6.1,61831,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,0,0,0,0
"Indian in the Cupboard, The",1995,96,45000000,5.8,1430,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"PG",0,0,0,0,0,0,0
"Indiana Jones and the Last Crusade",1989,127,48000000,8.1,61583,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",1,0,0,0,0,0,0
"Indiana Jones and the Temple of Doom",1984,118,28000000,7.2,34880,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,0,0,0,0
"Inferno",1980,102,3000000,6.2,1245,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,"",0,0,0,0,0,0,0
"Informer, The",1935,91,243000,7.3,599,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Innocence Project, The",2004,26,1000,9.8,6,0,0,0,0,0,0,0,0,14.5,84.5,"",0,0,0,0,1,0,1
"Innocent",2001,16,25000,7,8,14.5,0,0,0,14.5,0,24.5,14.5,0,34.5,"",0,0,0,1,0,0,1
"Innsmouth Legacy",2004,10,1000,6.4,8,24.5,0,14.5,0,0,0,0,24.5,0,34.5,"",0,0,0,1,0,0,1
"Inseminoid",1981,93,2000000,2.8,248,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,1,0,0,0
"Inside",2002,8,5000,7.4,36,4.5,4.5,4.5,0,4.5,14.5,4.5,14.5,14.5,34.5,"",0,0,0,0,0,0,1
"Inside Daisy Clover",1965,128,4500000,6.1,340,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,1,1,0,1,0
"Insider, The",1999,157,68000000,8,28780,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"R",0,0,0,1,0,0,0
"Insight of Evil",2003,80,120000,5.1,11,34.5,34.5,0,0,0,0,0,0,14.5,4.5,"R",0,0,0,0,0,0,0
"Insomnia",2001,6,0,7.1,13,4.5,4.5,0,4.5,0,14.5,14.5,24.5,4.5,14.5,"",0,0,0,1,0,0,1
"Insomnia",2002,118,46000000,7.3,22235,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,"R",0,0,0,1,0,0,0
"Insomniac's Nightmare, An",2003,31,20000,7,57,4.5,4.5,0,0,4.5,4.5,4.5,24.5,14.5,44.5,"",0,0,0,1,0,0,1
"Inspector Gadget",1999,78,75000000,4,5288,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,"PG",1,0,1,0,0,0,0
"Inspiration",1931,74,438000,6,65,0,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Instinct",1999,126,55000000,6.1,6298,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"R",0,0,0,1,0,0,0
"Insutooru",2004,94,2000000,6.1,7,14.5,0,14.5,14.5,0,0,14.5,14.5,0,24.5,"",0,0,0,1,0,0,0
"Intended, The",2002,110,3800000,6.8,40,4.5,4.5,4.5,4.5,0,24.5,24.5,14.5,14.5,14.5,"R",0,0,0,1,0,0,0
"Interiors",1978,93,10000000,7.1,1736,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Intermezzo: A Love Story",1939,70,800000,6.7,305,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,"",0,0,0,1,0,1,0
"Intermission",2003,102,5000000,6.4,1971,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,1,1,0,0,0
